GENESIS-Tabelle: 036-02-5-B
Gebäude mit Wohnraum nach Anzahl der Wohnungen;;;;;;;
- Stichtag 09.05.2011;;;;;;;
regionale Ebenen;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;
Stichtag: 09.05.2011;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum
;;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen
;;Insgesamt;1 Wohnung;2 Wohnungen;3 - 6 Wohnungen;7 - 12 Wohnungen;13 und mehr Wohnungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
13075134;Tutow;-;x;x;x;x;x
13075135;Ückeritz;-;x;x;x;x;x
13075136;Ueckermünde, Stadt;-;x;x;x;x;x
13075137;Usedom, Stadt;-;x;x;x;x;x
13075138;Viereck;-;x;x;x;x;x
13075139;Vogelsang-Warsin;-;x;x;x;x;x
13075140;Völschow;-;x;x;x;x;x
13075141;Wackerow;-;x;x;x;x;x
13075142;Weitenhagen;-;x;x;x;x;x
13075143;Wilhelmsburg;-;x;x;x;x;x
13075144;Wolgast, Stadt;-;x;x;x;x;x
13075145;Wrangelsburg;-;x;x;x;x;x
13075146;Wusterhusen;-;x;x;x;x;x
13075147;Zemitz;-;x;x;x;x;x
13075148;Zempin;-;x;x;x;x;x
13075149;Zerrenthin;-;x;x;x;x;x
13075150;Ziethen;-;x;x;x;x;x
13075151;Zinnowitz;-;x;x;x;x;x
13075152;Zirchow;-;x;x;x;x;x
13075153;Züsedom;-;x;x;x;x;x
13075154;Züssow;-;x;x;x;x;x
13075155;Neetzow-Liepen;-;-;-;-;-;-
13076001;Alt Krenzlin;-;x;x;x;x;x
13076002;Alt Zachun;-;x;x;x;x;x
13076003;Balow;-;x;x;x;x;x
13076004;Bandenitz;-;x;x;x;x;x
13076005;Banzkow;-;x;x;x;x;x
13076006;Barkhagen;-;x;x;x;x;x
13076007;Barnin;-;x;x;x;x;x
13076008;Belsch;-;x;x;x;x;x
13076009;Bengerstorf;-;x;x;x;x;x
13076010;Besitz;-;x;x;x;x;x
13076011;Blankenberg;-;x;x;x;x;x
13076012;Blievenstorf;-;x;x;x;x;x
13076013;Bobzin;-;x;x;x;x;x
13076014;Boizenburg/Elbe, Stadt;-;x;x;x;x;x
13076015;Borkow;-;x;x;x;x;x
13076016;Brahlstorf;-;x;x;x;x;x
13076017;Brenz;-;x;x;x;x;x
13076018;Bresegard bei Eldena;-;x;x;x;x;x
13076019;Bresegard bei Picher;-;x;x;x;x;x
13076020;Brüel, Stadt;-;x;x;x;x;x
13076021;Brunow;-;x;x;x;x;x
13076022;Buchberg;-;x;x;x;x;x
13076023;Bülow;-;x;x;x;x;x
13076024;Cambs;-;x;x;x;x;x
13076025;Crivitz, Stadt;-;x;x;x;x;x
13076026;Dabel;-;x;x;x;x;x
13076027;Dambeck;-;x;x;x;x;x
13076028;Damm;-;x;x;x;x;x
13076029;Demen;-;x;x;x;x;x
13076030;Dersenow;-;x;x;x;x;x
13076031;Diestelow;-;x;x;x;x;x
13076032;Dobbertin;-;x;x;x;x;x
13076033;Dobin am See;-;x;x;x;x;x
13076034;Dömitz, Stadt;-;x;x;x;x;x
13076035;Domsühl;-;x;x;x;x;x
13076036;Dümmer;-;x;x;x;x;x
13076037;Eldena;-;x;x;x;x;x
13076038;Friedrichsruhe;-;x;x;x;x;x
13076039;Gallin;-;x;x;x;x;x
13076040;Gallin-Kuppentin;-;x;x;x;x;x
13076041;Gammelin;-;x;x;x;x;x
13076042;Ganzlin;-;x;x;x;x;x
13076043;Gischow;-;x;x;x;x;x
13076044;Gneven;-;x;x;x;x;x
13076045;Godern;-;x;x;x;x;x
13076046;Göhlen;-;x;x;x;x;x
13076048;Goldberg, Stadt;-;x;x;x;x;x
13076049;Gorlosen;-;x;x;x;x;x
13076050;Grabow, Stadt;-;x;x;x;x;x
13076051;Granzin;-;x;x;x;x;x
13076052;Grebbin;-;x;x;x;x;x
13076053;Grebs-Niendorf;-;x;x;x;x;x
13076054;Gresse;-;x;x;x;x;x
13076055;Greven;-;x;x;x;x;x
13076056;Groß Godems;-;x;x;x;x;x
13076057;Groß Krams;-;x;x;x;x;x
13076058;Groß Laasch;-;x;x;x;x;x
13076059;Groß Niendorf;-;x;x;x;x;x
13076060;Hagenow, Stadt;-;x;x;x;x;x
13076061;Herzberg;-;x;x;x;x;x
13076062;Hohen Pritz;-;x;x;x;x;x
13076063;Holthusen;-;x;x;x;x;x
13076064;Hoort;-;x;x;x;x;x
13076065;Hülseburg;-;x;x;x;x;x
13076066;Karbow-Vietlübbe;-;x;x;x;x;x
13076067;Karenz;-;x;x;x;x;x
13076068;Karrenzin;-;x;x;x;x;x
13076069;Karstädt;-;x;x;x;x;x
13076070;Kirch Jesar;-;x;x;x;x;x
13076071;Klein Rogahn;-;x;x;x;x;x
13076072;Kobrow;-;x;x;x;x;x
13076073;Kogel;-;x;x;x;x;x
13076074;Körchow;-;x;x;x;x;x
13076075;Kreien;-;x;x;x;x;x
13076076;Kremmin;-;x;x;x;x;x
13076077;Kritzow;-;x;x;x;x;x
13076078;Kuhlen-Wendorf;-;x;x;x;x;x
13076079;Kuhstorf;-;x;x;x;x;x
13076080;Langen Brütz;-;x;x;x;x;x
13076081;Langen Jarchow;-;x;x;x;x;x
13076082;Leezen;-;x;x;x;x;x
13076083;Lehsen;-;x;x;x;x;x
13076084;Leussow;-;x;x;x;x;x
13076085;Lewitzrand;-;x;x;x;x;x
13076086;Lübesse;-;x;x;x;x;x
13076087;Lüblow;-;x;x;x;x;x
13076088;Lübtheen, Stadt;-;x;x;x;x;x
13076089;Lübz, Stadt;-;x;x;x;x;x
13076090;Ludwigslust, Stadt;-;x;x;x;x;x
13076091;Lutheran;-;x;x;x;x;x
13076092;Lüttow-Valluhn;-;x;x;x;x;x
13076093;Malk Göhren;-;x;x;x;x;x
13076094;Malliß;-;x;x;x;x;x
13076095;Marnitz;-;x;x;x;x;x
13076096;Mestlin;-;x;x;x;x;x
13076097;Milow;-;x;x;x;x;x
13076098;Möllenbeck;-;x;x;x;x;x
13076099;Moraas;-;x;x;x;x;x
13076100;Muchow;-;x;x;x;x;x
13076101;Mustin;-;x;x;x;x;x
13076102;Neu Gülze;-;x;x;x;x;x
13076103;Neu Kaliß;-;x;x;x;x;x
13076104;Neu Poserin;-;x;x;x;x;x
13076105;Neustadt-Glewe, Stadt;-;x;x;x;x;x
13076106;Nostorf;-;x;x;x;x;x
13076107;Pampow;-;x;x;x;x;x
13076108;Parchim, Stadt;-;x;x;x;x;x
13076109;Passow;-;x;x;x;x;x
13076110;Pätow-Steegen;-;x;x;x;x;x
13076111;Picher;-;x;x;x;x;x
13076112;Pinnow;-;x;x;x;x;x
13076113;Plate;-;x;x;x;x;x
13076114;Plau am See, Stadt;-;x;x;x;x;x
13076115;Prislich;-;x;x;x;x;x
13076116;Pritzier;-;x;x;x;x;x
13076117;Raben Steinfeld;-;x;x;x;x;x
13076118;Rastow;-;x;x;x;x;x
13076119;Redefin;-;x;x;x;x;x
13076120;Rom;-;x;x;x;x;x
13076121;Schossin;-;x;x;x;x;x
13076122;Schwanheide;-;x;x;x;x;x
13076123;Setzin;-;x;x;x;x;x
13076124;Severin;-;x;x;x;x;x
13076125;Siggelkow;-;x;x;x;x;x
13076126;Spornitz;-;x;x;x;x;x
13076127;Steesow;-;x;x;x;x;x
13076128;Sternberg, Stadt;-;x;x;x;x;x
13076129;Stolpe;-;x;x;x;x;x
13076130;Stralendorf;-;x;x;x;x;x
13076131;Strohkirchen;-;x;x;x;x;x
13076132;Suckow;-;x;x;x;x;x
13076133;Sukow;-;x;x;x;x;x
13076134;Sülstorf;-;x;x;x;x;x
13076135;Techentin;-;x;x;x;x;x
13076136;Teldau;-;x;x;x;x;x
13076137;Tessenow;-;x;x;x;x;x
13076138;Tessin b. Boizenburg;-;x;x;x;x;x
13076139;Toddin;-;x;x;x;x;x
13076140;Tramm;-;x;x;x;x;x
13076141;Uelitz;-;x;x;x;x;x
13076142;Vellahn;-;x;x;x;x;x
13076143;Vielank;-;x;x;x;x;x
13076144;Wahlstorf;-;x;x;x;x;x
13076145;Warlitz;-;x;x;x;x;x
13076146;Warlow;-;x;x;x;x;x
13076147;Warsow;-;x;x;x;x;x
13076148;Weitendorf;-;x;x;x;x;x
13076149;Wendisch Priborn;-;x;x;x;x;x
13076150;Wendisch Waren;-;x;x;x;x;x
13076151;Werder;-;x;x;x;x;x
13076152;Wittenburg, Stadt;-;x;x;x;x;x
13076153;Wittendörp;-;x;x;x;x;x
13076154;Wittenförden;-;x;x;x;x;x
13076155;Witzin;-;x;x;x;x;x
13076156;Wöbbelin;-;x;x;x;x;x
13076157;Zahrensdorf;-;x;x;x;x;x
13076158;Zapel;-;x;x;x;x;x
13076159;Zarrentin am Schaalsee, Stadt;-;x;x;x;x;x
13076160;Ziegendorf;-;x;x;x;x;x
13076161;Zierzow;-;x;x;x;x;x
13076162;Zölkow;-;x;x;x;x;x
13076163;Zülow;-;x;x;x;x;x
13076164;Obere Warnow;-;-;-;-;-;-
13076165;Gehlsbach;-;-;-;-;-;-
13076166;Ganzlin;-;-;-;-;-;-
14161000;Chemnitz, Kreisfreie Stadt;-;-;-;-;-;-
14166000;Plauen, Kreisfreie Stadt;-;-;-;-;-;-
14167000;Zwickau, Kreisfreie Stadt;-;-;-;-;-;-
14171000;Annaberg, Landkreis;-;-;-;-;-;-
14173000;Chemnitzer Land, Landkreis;-;-;-;-;-;-
14177000;Freiberg, Landkreis;-;-;-;-;-;-
14178000;Vogtlandkreis;-;-;-;-;-;-
14181000;Mittlerer Erzgebirgskreis;-;-;-;-;-;-
14182000;Mittweida, Landkreis;-;-;-;-;-;-
14188000;Stollberg, Landkreis;-;-;-;-;-;-
14191000;Aue-Schwarzenberg, Landkreis;-;-;-;-;-;-
14193000;Zwickauer Land, Landkreis;-;-;-;-;-;-
14262000;Dresden, Kreisfreie Stadt;-;-;-;-;-;-
14263000;Görlitz, Kreisfreie Stadt;-;-;-;-;-;-
14264000;Hoyerswerda, Kreisfreie Stadt;-;-;-;-;-;-
14272000;Bautzen, Landkreis;-;-;-;-;-;-
14280000;Meißen, Landkreis;-;-;-;-;-;-
14284000;Niederschlesischer Oberlausitzkreis;-;-;-;-;-;-
14285000;Riesa-Großenhain, Landkreis;-;-;-;-;-;-
14286000;Löbau-Zittau, Landkreis;-;-;-;-;-;-
14287000;Sächsische Schweiz, Landkreis;-;-;-;-;-;-
14290000;Weißeritzkreis;-;-;-;-;-;-
14292000;Kamenz, Landkreis;-;-;-;-;-;-
14365000;Leipzig, Kreisfreie Stadt;-;-;-;-;-;-
14374000;Delitzsch, Landkreis;-;-;-;-;-;-
14375000;Döbeln, Landkreis;-;-;-;-;-;-
14379000;Leipziger Land, Landkreis;-;-;-;-;-;-
14383000;Muldentalkreis;-;-;-;-;-;-
14389000;Torgau-Oschatz, Landkreis;-;-;-;-;-;-
14511000;Chemnitz, Stadt;32126;14593;3678;5004;6935;1916
14521010;Amtsberg;1102;589;345;148;20;-
14521020;Annaberg-Buchholz, Stadt;3694;1504;654;974;512;50
14521030;Aue, Stadt;2611;941;421;700;507;42
14521040;Auerbach;658;314;160;171;13;-
14521050;Bad Schlema;1101;542;236;235;79;9
14521060;Bärenstein;618;276;169;150;23;-
14521070;Bernsbach;1147;627;351;150;10;9
14521080;Bockau;728;365;237;122;4;-
14521090;Börnichen/Erzgeb.;302;165;107;27;3;-
14521100;Borstendorf;401;210;135;50;6;-
14521110;Breitenbrunn/Erzgeb.;1429;691;434;266;34;4
14521120;Burkhardtsdorf;1693;907;449;296;35;6
14521130;Crottendorf;1160;554;404;193;9;-
14521140;Deutschneudorf;354;216;91;47;-;-
14521150;Drebach;1422;756;412;220;31;3
14521160;Ehrenfriedersdorf, Stadt;1032;461;282;188;98;3
14521170;Eibenstock, Stadt;1889;858;499;443;89;-
14521180;Elterlein, Stadt;825;400;275;140;10;-
14521190;Erlbach-Kirchberg;535;325;149;61;-;-
14521200;Gelenau/Erzgeb.;1008;423;303;212;67;3
14521210;Geyer, Stadt;936;439;278;181;38;-
14521220;Gornau/Erzgeb.;1054;643;286;107;11;7
14521230;Gornsdorf;530;256;156;100;15;3
14521240;Großolbersdorf;830;441;261;119;9;-
14521250;Großrückerswalde;923;453;298;147;25;-
14521260;Grünhain-Beierfeld, Stadt;1542;760;392;347;40;3
14521270;Grünhainichen;633;353;160;108;12;-
14521280;Heidersdorf;242;151;62;25;4;-
14521290;Hohndorf;909;435;180;277;13;4
14521300;Hormersdorf;402;181;152;63;6;-
14521310;Jahnsdorf/Erzgeb.;1568;969;395;166;35;3
14521320;Johanngeorgenstadt, Stadt;971;481;167;164;150;9
14521330;Jöhstadt, Stadt;872;459;261;142;10;-
14521340;Königswalde;627;357;182;81;7;-
14521350;Lauter/Sa., Stadt;1163;562;305;264;32;-
14521355;Lauter-Bernsbach, Stadt;-;-;-;-;-;-
14521360;Lengefeld, Stadt;1178;659;317;164;38;-
14521370;Lößnitz, Stadt;1877;906;473;290;192;16
14521380;Lugau/Erzgeb., Stadt;1357;641;214;362;122;18
14521390;Marienberg, Stadt;3034;1585;782;456;202;9
14521400;Mildenau;967;505;343;110;6;3
14521410;Neukirchen/Erzgeb.;1750;986;384;325;48;7
14521420;Niederdorf;344;185;98;55;6;-
14521430;Niederwürschnitz;700;372;142;173;13;-
14521440;Oberwiesenthal, Kurort, Stadt;630;254;156;164;50;6
14521450;Oelsnitz/Erzgeb., Stadt;2844;1503;504;731;100;6
14521460;Olbernhau, Stadt;2200;1122;426;474;163;15
14521470;Pfaffroda;848;542;229;77;-;-
14521480;Pobershau;583;367;163;53;-;-
14521490;Pockau;1044;587;275;153;29;-
14521495;Pockau-Lengefeld, Stadt;-;-;-;-;-;-
14521500;Raschau-Markersbach;1202;549;391;172;87;3
14521510;Scheibenberg, Stadt;562;268;148;134;12;-
14521520;Schlettau, Stadt;649;342;163;131;13;-
14521530;Schneeberg, Stadt;2817;1234;650;545;370;18
14521540;Schönheide;1153;510;342;257;40;4
14521550;Schwarzenberg/Erzgeb., Stadt;3208;1378;779;581;421;49
14521560;Sehmatal;1707;840;498;321;48;-
14521570;Seiffen/Erzgeb., Kurort;764;486;178;87;10;3
14521580;Sosa;-;-;-;-;-;-
14521590;Stollberg/Erzgeb., Stadt;2385;1194;501;481;188;21
14521600;Stützengrün;1018;539;352;124;3;-
14521610;Tannenberg;336;191;110;32;3;-
14521620;Thalheim/Erzgeb., Stadt;1289;482;337;349;118;3
14521630;Thermalbad Wiesenbad;960;516;289;142;13;-
14521640;Thum, Stadt;1425;675;390;330;30;-
14521650;Venusberg;-;-;-;-;-;-
14521660;Waldkirchen/Erzgeb.;-;-;-;-;-;-
14521670;Wolkenstein, Stadt;998;480;283;179;56;-
14521680;Zöblitz, Stadt;818;485;188;136;9;-
14521690;Zschopau, Stadt;1997;1014;418;328;225;12
14521700;Zschorlau;1445;723;508;178;36;-
14521710;Zwönitz, Stadt;2376;1153;691;366;145;21
14522010;Altmittweida;628;407;148;70;3;-
14522020;Augustusburg, Stadt;1323;779;267;241;33;3
14522030;Bobritzsch;1315;838;307;144;26;-
14522035;Bobritzsch-Hilbersdorf;-;-;-;-;-;-
14522040;Bockelwitz;869;683;133;43;10;-
14522050;Brand-Erbisdorf, Stadt;2018;1089;358;287;269;15
14522060;Burgstädt, Stadt;2783;1578;511;539;134;21
14522070;Claußnitz;967;610;201;142;14;-
14522080;Döbeln, Stadt;3442;1725;378;647;617;75
14522090;Dorfchemnitz;517;348;131;35;-;3
14522100;Ebersbach;370;282;63;25;-;-
14522110;Eppendorf;1143;656;272;199;16;-
14522120;Erlau;1117;828;216;64;9;-
14522130;Falkenau;464;258;96;78;32;-
14522140;Flöha, Stadt;1560;731;201;381;232;15
14522150;Frankenberg/Sa., Stadt;3109;1644;476;635;309;45
14522160;Frankenstein;332;226;80;23;3;-
14522170;Frauenstein, Stadt;946;586;226;128;6;-
14522180;Freiberg, Stadt;6152;2817;624;1184;1396;131
14522190;Geringswalde, Stadt;1338;814;235;236;46;7
14522200;Großhartmannsdorf;825;543;205;71;3;3
14522210;Großschirma, Stadt;1841;1282;375;157;27;-
14522220;Großweitzschen;877;639;127;80;31;-
14522230;Hainichen, Stadt;2329;1421;426;317;159;6
14522240;Halsbrücke;1581;1037;352;152;40;-
14522250;Hartha, Stadt;1963;1154;371;327;108;3
14522260;Hartmannsdorf;1079;628;187;204;60;-
14522270;Hilbersdorf;337;217;52;54;14;-
14522280;Königsfeld;501;393;94;14;-;-
14522290;Königshain-Wiederau;901;639;192;61;9;-
14522300;Kriebstein;773;571;143;41;18;-
14522310;Leisnig, Stadt;1748;1041;272;330;102;3
14522320;Leubsdorf;966;508;284;148;23;3
14522330;Lichtenau;2475;1792;469;190;24;-
14522340;Lichtenberg/Erzgeb.;735;442;174;107;12;-
14522350;Lunzenau, Stadt;1431;916;293;172;50;-
14522360;Mittweida, Stadt;3234;1717;467;623;395;32
14522370;Mochau;831;670;116;45;-;-
14522380;Mühlau;681;455;149;61;16;-
14522390;Mulda/Sa.;723;440;180;90;13;-
14522400;Neuhausen/Erzgeb.;869;539;199;111;20;-
14522410;Niederstriegis;389;290;61;35;3;-
14522420;Niederwiesa;1431;950;235;220;23;3
14522430;Oberschöna;1109;814;194;89;12;-
14522440;Oederan, Stadt;1904;1095;396;298;112;3
14522450;Ostrau;1222;895;197;96;34;-
14522460;Penig, Stadt;2553;1539;516;341;148;9
14522470;Rechenberg-Bienenmühle;671;426;128;111;6;-
14522480;Reinsberg;1007;701;225;81;-;-
14522490;Rochlitz, Stadt;1344;733;194;286;125;6
14522500;Rossau;1090;701;234;151;4;-
14522510;Roßwein, Stadt;1788;1035;310;346;91;6
14522520;Sayda, Stadt;536;339;124;47;26;-
14522530;Seelitz;671;490;148;33;-;-
14522540;Striegistal;1599;1095;381;114;9;-
14522550;Taura;750;453;165;120;12;-
14522570;Waldheim, Stadt;1777;955;270;359;175;18
14522580;Wechselburg;646;436;136;62;12;-
14522590;Weißenborn/Erzgeb.;624;363;131;106;24;-
14522600;Zettlitz;278;205;56;10;7;-
14522610;Ziegra-Knobelsdorf;703;539;108;53;3;-
14522620;Zschaitz-Ottewig;477;377;70;27;3;-
14523010;Adorf/Vogtl., Stadt;1530;903;294;262;65;6
14523020;Auerbach/Vogtl., Stadt;4277;2135;1006;707;398;31
14523030;Bad Brambach;808;604;136;58;10;-
14523040;Bad Elster, Stadt;1030;647;163;147;63;10
14523050;Bergen;354;216;98;37;3;-
14523060;Bösenbrunn;435;337;71;27;-;-
14523070;Burgstein;-;-;-;-;-;-
14523080;Eichigt;473;369;77;23;4;-
14523090;Ellefeld;793;420;182;169;22;-
14523100;Elsterberg, Stadt;1201;646;267;225;54;9
14523110;Erlbach;610;408;137;61;4;-
14523120;Falkenstein/Vogtl., Stadt;2207;1030;428;605;144;-
14523130;Grünbach, Höhenluftkurort;585;372;173;34;6;-
14523140;Hammerbrücke;-;-;-;-;-;-
14523150;Heinsdorfergrund;681;450;175;53;-;3
14523160;Klingenthal, Stadt;2250;1268;518;326;135;3
14523170;Lengenfeld, Stadt;2226;1339;513;301;70;3
14523180;Leubnitz;-;-;-;-;-;-
14523190;Limbach;526;343;146;37;-;-
14523200;Markneukirchen, Stadt;1789;891;462;352;84;-
14523210;Mehltheuer;-;-;-;-;-;-
14523220;Morgenröthe-Rautenkranz;-;-;-;-;-;-
14523230;Mühlental;511;381;99;31;-;-
14523240;Mühltroff, Stadt;539;340;123;54;19;3
14523245;Muldenhammer;1096;703;258;115;20;-
14523250;Mylau, Stadt;822;414;184;207;17;-
14523260;Netzschkau, Stadt;1241;655;298;254;31;3
14523270;Neuensalz;752;514;180;55;3;-
14523280;Neumark;941;607;202;105;24;3
14523290;Neustadt/Vogtl.;345;208;99;34;4;-
14523300;Oelsnitz/Vogtl., Stadt;2824;1549;545;527;194;9
14523310;Pausa-Mühltroff, Stadt;1227;776;328;119;4;-
14523320;Plauen, Stadt;11095;5637;1184;1724;2243;307
14523330;Pöhl;787;530;152;65;40;-
14523340;Reichenbach im Vogtland, Stadt;4169;1947;730;916;548;28
14523350;Reuth;337;257;61;13;6;-
14523360;Rodewisch, Stadt;1794;1046;340;305;100;3
14523365;Rosenbach/Vogtl.;1411;1007;269;87;48;-
14523370;Schöneck/Vogtl., Stadt;950;517;258;135;32;8
14523380;Steinberg;842;494;241;91;7;9
14523390;Syrau;-;-;-;-;-;-
14523400;Tannenbergsthal;-;-;-;-;-;-
14523410;Theuma;358;258;84;10;6;-
14523420;Tirpersdorf;532;382;121;29;-;-
14523430;Treuen, Stadt;2286;1301;529;394;59;3
14523440;Triebel/Vogtl.;473;369;71;25;8;-
14523450;Weischlitz;1662;1184;292;137;49;-
14523460;Werda;552;372;161;16;-;3
14523470;Zwota;466;270;151;42;3;-
14524010;Bernsdorf;739;466;196;71;6;-
14524020;Callenberg;1643;1062;430;134;17;-
14524030;Crimmitschau, Stadt;4747;2281;964;1102;352;48
14524040;Crinitzberg;565;271;219;65;7;3
14524050;Dennheritz;447;285;115;44;3;-
14524060;Fraureuth;1353;780;323;177;73;-
14524070;Gersdorf;1100;574;248;258;20;-
14524080;Glauchau, Stadt;5449;2803;1065;1118;420;43
14524090;Hartenstein, Stadt;1236;719;309;171;34;3
14524100;Hartmannsdorf b. Kirchberg;376;206;125;33;12;-
14524110;Hirschfeld;362;216;110;33;3;-
14524120;Hohenstein-Ernstthal, Stadt;3148;1647;525;654;289;33
14524130;Kirchberg, Stadt;2112;1113;588;329;72;10
14524140;Langenbernsdorf;1218;895;274;49;-;-
14524150;Langenweißbach;772;444;223;96;9;-
14524160;Lichtenstein/Sa., Stadt;2618;1352;501;469;271;25
14524170;Lichtentanne;1793;1006;473;272;42;-
14524180;Limbach-Oberfrohna, Stadt;5291;2825;925;961;513;67
14524190;Meerane, Stadt;3575;1852;682;721;269;51
14524200;Mülsen;3145;1787;897;347;99;15
14524210;Neukirchen/Pleiße;1078;576;249;222;28;3
14524220;Niederfrohna;754;479;191;74;10;-
14524230;Oberlungwitz, Stadt;1494;830;344;222;92;6
14524240;Oberwiera;357;262;81;10;4;-
14524250;Reinsdorf;1933;1012;437;430;51;3
14524260;Remse;538;340;114;74;3;7
14524270;Schönberg;300;192;82;26;-;-
14524280;St. Egidien;882;497;225;119;35;6
14524290;Waldenburg, Stadt;1290;858;240;152;40;-
14524300;Werdau, Stadt;5018;2662;869;988;447;52
14524310;Wildenfels, Stadt;1102;631;300;144;24;3
14524320;Wilkau-Haßlau, Stadt;2071;851;414;554;233;19
14524330;Zwickau, Stadt;14654;6438;1882;3111;2869;354
14612000;Dresden, Stadt;57052;24985;5719;9345;12613;4390
14625010;Arnsdorf;1228;799;249;159;18;3
14625020;Bautzen, Stadt;6252;3161;616;1173;1195;107
14625030;Bernsdorf, Stadt;1691;1203;266;106;100;16
14625040;Bischofswerda, Stadt;2409;1307;447;408;209;38
14625050;Bretnig-Hauswalde;936;598;246;83;3;6
14625060;Burkau;915;651;204;60;-;-
14625070;Crostau;-;-;-;-;-;-
14625080;Crostwitz;305;269;30;6;-;-
14625090;Cunewalde;1431;953;326;83;57;12
14625100;Demitz-Thumitz;848;571;148;110;19;-
14625110;Doberschau-Gaußig;1279;935;224;97;23;-
14625120;Elsterheide;1199;889;264;37;9;-
14625130;Elstra, Stadt;889;628;187;67;7;-
14625140;Frankenthal;323;228;57;38;-;-
14625150;Göda;1072;823;178;62;9;-
14625160;Großdubrau;1351;1047;199;80;25;-
14625170;Großharthau;907;634;207;60;6;-
14625180;Großnaundorf;333;212;99;19;3;-
14625190;Großpostwitz/O.L.;831;586;147;86;12;-
14625200;Großröhrsdorf, Stadt;1665;901;415;294;52;3
14625210;Guttau;555;450;71;28;6;-
14625220;Haselbachtal;1286;854;349;77;6;-
14625230;Hochkirch;829;650;131;45;3;-
14625240;Hoyerswerda, Stadt;4978;2647;504;512;1156;159
14625250;Kamenz, Stadt;3153;1717;519;535;339;43
14625260;Kirschau;-;-;-;-;-;-
14625270;Königsbrück, Stadt;1212;781;231;148;39;13
14625280;Königswartha;974;721;128;47;72;6
14625290;Kubschütz;930;743;138;49;-;-
14625300;Laußnitz;635;465;142;25;3;-
14625310;Lauta, Stadt;2725;2041;278;293;107;6
14625320;Lichtenberg;490;283;171;36;-;-
14625330;Lohsa;1788;1322;334;103;29;-
14625340;Malschwitz;1128;898;178;52;-;-
14625350;Nebelschütz;334;272;53;9;-;-
14625360;Neschwitz;848;676;137;25;10;-
14625370;Neukirch;563;398;124;37;4;-
14625380;Neukirch/Lausitz;1518;1064;270;119;62;3
14625390;Obergurig;702;508;145;49;-;-
14625400;Oberlichtenau;-;-;-;-;-;-
14625410;Ohorn;725;478;184;59;4;-
14625420;Oßling;743;595;110;28;10;-
14625430;Ottendorf-Okrilla;2916;2200;488;148;56;24
14625440;Panschwitz-Kuckau;571;418;118;19;16;-
14625450;Pulsnitz, Stadt;1988;1162;505;220;87;14
14625460;Puschwitz;268;197;36;29;6;-
14625470;Räckelwitz;325;277;39;6;3;-
14625480;Radeberg, Stadt;3726;2342;483;482;392;27
14625490;Radibor;1112;881;178;44;9;-
14625500;Ralbitz-Rosenthal;499;410;82;7;-;-
14625510;Rammenau;462;341;97;21;3;-
14625520;Schirgiswalde, Stadt;-;-;-;-;-;-
14625525;Schirgiswalde-Kirschau, Stadt;2018;1326;453;223;10;6
14625530;Schmölln-Putzkau;1130;837;224;65;-;4
14625540;Schönteichen;688;471;178;36;3;-
14625550;Schwepnitz;786;563;159;48;16;-
14625560;Sohland a. d. Spree;2305;1611;522;163;9;-
14625570;Spreetal;685;541;110;34;-;-
14625580;Steina;582;400;164;18;-;-
14625590;Steinigtwolmsdorf;1043;731;263;35;14;-
14625600;Wachau;1286;867;292;110;14;3
14625610;Weißenberg, Stadt;1114;894;161;50;6;3
14625620;Wiednitz;295;212;53;30;-;-
14625630;Wilthen, Stadt;1272;827;199;88;146;12
14625640;Wittichenau, Stadt;1739;1346;294;57;39;3
14626010;Bad Muskau, Stadt;1007;619;188;143;57;-
14626020;Beiersdorf;474;383;78;13;-;-
14626030;Bernstadt a. d. Eigen, Stadt;1184;880;207;75;19;3
14626040;Berthelsdorf;608;509;79;20;-;-
14626050;Bertsdorf-Hörnitz;878;677;164;34;3;-
14626060;Boxberg/O.L.;1568;1162;294;51;58;3
14626070;Dürrhennersdorf;337;256;59;12;10;-
14626080;Ebersbach/Sa., Stadt;-;-;-;-;-;-
14626085;Ebersbach-Neugersdorf, Stadt;3598;2082;801;466;204;45
14626090;Eibau;1538;1036;355;134;13;-
14626100;Gablenz;619;501;97;18;3;-
14626110;Görlitz, Stadt;8032;3578;617;1252;2199;386
14626120;Groß Düben;368;278;78;12;-;-
14626130;Großhennersdorf;-;-;-;-;-;-
14626140;Großschönau;1807;1093;389;245;80;-
14626150;Großschweidnitz;380;297;40;36;7;-
14626160;Hähnichen;511;425;74;12;-;-
14626170;Hainewalde;607;457;122;22;6;-
14626180;Herrnhut, Stadt;1418;972;283;147;16;-
14626190;Hohendubrau;717;584;102;25;6;-
14626200;Horka;705;579;96;30;-;-
14626210;Jonsdorf, Kurort;594;437;110;47;-;-
14626220;Klitten;-;-;-;-;-;-
14626230;Kodersdorf;835;639;123;57;16;-
14626240;Königshain;460;377;63;16;4;-
14626245;Kottmar;-;-;-;-;-;-
